Emailed,Replied,Academy,State,Website,Best Contact,Contact Type,Priority,Notes
☑,☐,Georgia Academy of AAs (GAAA),GA,https://www.georgiaaaa.org/,president.gaaa@gmail.com,Email,High (WARM),"EMAILED. WARM: Kris Tindol = GAAA liaison + trying MACPrep. Pres Ashleigh Schroder; (404) 249-9178."
☑,☐,Ohio Academy of AAs (OAAA),OH,https://ohioaaa.org/,info@ohioaaa.org,Email,High,"EMAILED. Board incl. Nate Flath (NEOMED PD) & Pavel Vaisberg (Follie founder)."
☑,☐,Florida Academy of AAs (FAAA),FL,https://www.floridaaaa.org/,admin@floridaaaa.org,Email,High,"EMAILED. Largest; sells own CME. Vigilant 20% not on public site - confirm scope."
☑,☐,Missouri Academy of AAs (MOAAA),MO,https://www.missouriaaa.org/,missouriaaa@gmail.com,Email,Medium,"EMAILED. Pres Joe Borup CAA."
☑,☐,Michigan Academy of AAs (MAAA),MI,https://www.michiganaaa.org/,Michiganaaa.info@gmail.com,Email,Medium,"EMAILED. Pres Daniel Mesaros CAA."
☑,☐,Illinois Academy of AAs (ILAAA),IL,https://www.ilaaa.org/,info@ilaaa.org,Email,Medium,"EMAILED. IG @illinoisaaa."
☑,☐,Colorado Academy of AAs (COAAA),CO,https://www.coloradoaaa.org/,coloradoaaa@gmail.com,Email,Medium,"EMAILED. Pres Jason Kotun (also Nova Denver PD)."
☑,☐,Nevada Academy of AAs (NVAAA),NV,https://www.nv-aaa.org/,info@nv-aaa.org,Email,Medium,"EMAILED. Pres Stephanie Zunini; strong socials."
☑,☐,Wisconsin Academy of AAs (WIAAA),WI,https://wisconsinaaa.org/,waaa@wisconsinaaa.org,Email,Medium,"EMAILED. Pres Mackenzie Reid."
☑,☐,Wyoming Academy of AAs (WYAAA),WY,https://www.wyaaa.org/,info@wyaaa.org,Email,Medium,"EMAILED."
☑,☐,South Carolina Academy of AAs (SCAAA),SC,https://scaaa.wildapricot.org/,President.SCAAA@gmail.com,Email,Medium,"EMAILED."
☑,☐,Oklahoma Academy of AAs (OKAAA),OK,https://okaaa.wildapricot.org/,okaaainc@gmail.com,Email,Low,"EMAILED."
☐,☐,Texas Academy of AAs (TXAAA),TX,https://texasaaa.org/,lonestaraa@gmail.com,Email,High,"NEW EMAIL - send next. Pres Alan Rivera. Large; FB/IG @lonestaraa."
☐,☐,Tennessee Academy of AAs (TNAAA),TN,https://www.tennesseeaaa.org/,tennesseeaaa@gmail.com,Email,High (TIMING),"NEW EMAIL. Newly licensed 2025 - mobilizing, high receptivity. IG/FB/X @TennesseeAAA."
☐,☐,Virginia Academy of AAs (VAAA),VA,https://www.virginiaanesthetist.org/,vaaamembership@gmail.com,Email,High (TIMING),"NEW EMAIL. Pres Akash Sinha. Newly licensed 2025."
☐,☐,Pennsylvania Academy of AAs (PAAA),PA,https://www.pennsylvaniaaaa.org/,info@pennsylvaniaaaa.org,Email,Medium,"NEW EMAIL. Pres Brienne Seekford. IG @paaa_caas."
☐,☐,Indiana Academy of AAs (INAAA),IN,https://www.indianaaaa.org/,info@indianaaaa.org,Email,Medium,"NEW EMAIL. Pres Elizabeth Rivera."
☐,☐,Minnesota Academy of AAs (MNAAA),MN,https://mnaaa.org/,mnaaainfo@gmail.com,Email,Medium,"NEW EMAIL. Pres Lindsey Boucher."
☐,☐,New Mexico Academy of AAs (NMAAA),NM,https://www.newmexicoaaa.org/,newmexicoaaa@gmail.com,Email,Medium,"NEW EMAIL. Pres Lindsey Diaz. IG @newmexicoaaa."
☐,☐,North Carolina Academy of AAs (NCAOAA),NC,https://ncaoaa12.wildapricot.org/,president.ncaaa@gmail.com,Email,Medium,"NEW EMAIL (role-based → president)."
☐,☐,Vermont Academy of AAs (VTAAA),VT,https://vtaaa.org/,info@vtaaa.org,Email,Low,"NEW EMAIL. Correct domain = vtaaa.org (NOT vermontaaa.org)."
☐,☐,DC Academy of AAs (DCAAA),DC,http://dcaaa.org/,aa.dcaaa@gmail.com,Email,Low,"NEW EMAIL. Pres Zoe Haynes. IG @dc_anesthesiologistassistants."
☐,☐,Arizona Academy of AAs (AZAAA),AZ,https://www.arizonaaaa.org/,https://www.arizonaaaa.org/contact (form) — or IG DM @arizona.aaa_,Form / Social,Medium,"No public email. Pres Tiffany Cothren. FB TheAZAAA."
☐,☐,Washington Academy of AAs (WAAAA),WA,https://www.washingtonaaa.org/,Pres Sarah Brown — LinkedIn linkedin.com/in/sarah-brown-caa-2039a2ba/,LinkedIn / Form,Medium,"No public email (Wufoo form only). Reach Pres via LinkedIn."
☐,☐,Massachusetts Academy of AAs (MassAAA),MA,https://massaaa.org/,Pres Paul Dunn — LinkedIn linkedin.com/in/prdunn3/,LinkedIn,Low,"No email (site says 'coming soon'). VP Tim Goodridge."
☐,☐,Kansas Academy of AAs (KSAAA),KS,https://www.ksaaa.org/,https://www.ksaaa.org/contact-8 (form),Form,Low,"No public email or verified social. Pres Spencer Jones."
☐,☐,Utah Academy of AAs (UTAAA),UT,not found,Pres Jacob Spilker — LinkedIn linkedin.com/in/jacob-spilker-710a1341/,LinkedIn,Low,"Licensed state; no academy site/email. Reach president on LinkedIn."
☐,☐,Maryland Association of AAs (MDAAA),MD,Instagram only,IG DM @marylandaaa,Instagram,Low,"No site/email/president found; IG DM the only channel."
☐,☐,Arkansas Academy of AAs (ARAAA),AR,https://www.arkansasaaa.org/,none (site blocks bots; open in a browser for its Contact page),Manual,Skip for now,"Pre-licensure advocacy; AA licensure CONTESTED (HB 1205). Not CAA-licensed."
