Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikTok"
2026/08/10 08:00,"OSA recovery: the pattern matters.

Save this quiet 60 second review for your next study block.

Source: ASA Practice Guidelines for Perioperative Management of Obstructive Sleep Apnea
https://www.asahq.org/~/media/sites/asahq/files/public/resources/standards-guidelines/practice-guidelines-for-the-perioperative-management-of-patients-with-obstructive-sleep-apnea.pdf

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-10-am.mp4,OSA recovery: the pattern matters,,Silent 60 second vertical review: osa recovery: the pattern matters.,,,reel,,
2026/08/10 16:00,"A line waveform: trust, then test.

Save this quiet 60 second review for your next study block.

Source: Abnormal arterial pressure waveform damping review
https://pmc.ncbi.nlm.nih.gov/articles/PMC11297833/

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-10-pm.mp4,"A line waveform: trust, then test",,"Silent 60 second vertical review: a line waveform: trust, then test.",,,reel,,
2026/08/11 08:00,"SGLT2: normal glucose can mislead.

Save this quiet 60 second review for your next study block.

Source: Perioperative Management of Patients Receiving SGLT2 Inhibitors
https://pubmed.ncbi.nlm.nih.gov/37932195/

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-11-am.mp4,SGLT2: normal glucose can mislead,,Silent 60 second vertical review: sglt2: normal glucose can mislead.,,,reel,,
2026/08/11 16:00,"Airway fire: the conversation is prevention.

Save this quiet 60 second review for your next study block.

Source: ASA Practice Advisory for the Prevention and Management of Operating Room Fires
https://www.asahq.org/~/media/sites/asahq/files/public/resources/standards-guidelines/practice-advisory-for-the-prevention-and-management-of-operating-room-fires.pdf

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-11-pm.mp4,Airway fire: the conversation is prevention,,Silent 60 second vertical review: airway fire: the conversation is prevention.,,,reel,,
2026/08/12 08:00,"TIVA: the line is part of the plan.

Save this quiet 60 second review for your next study block.

Source: ASA Practice Advisory for Intraoperative Awareness and Brain Function Monitoring
https://www.asahq.org/~/media/sites/asahq/files/public/resources/standards-guidelines/practice-advisory-for-intraoperative-awareness-and-brain-function-monitoring.pdf

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-12-am.mp4,TIVA: the line is part of the plan,,Silent 60 second vertical review: tiva: the line is part of the plan.,,,reel,,
2026/08/12 16:00,"A block wearing off should not surprise the patient.

Save this quiet 60 second review for your next study block.

Source: Managing rebound pain after regional anesthesia
https://pmc.ncbi.nlm.nih.gov/articles/PMC7533186/

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-12-pm.mp4,A block wearing off should not surprise the patient,,Silent 60 second vertical review: a block wearing off should not surprise the patient.,,,reel,,
2026/08/13 08:00,"Urgent DOAC: start with the clock.

Save this quiet 60 second review for your next study block.

Source: AHA Scientific Statement on Reversal of Direct Oral Anticoagulants
https://doi.org/10.1161/CIR.0000000000001285

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-13-am.mp4,Urgent DOAC: start with the clock,,Silent 60 second vertical review: urgent doac: start with the clock.,,,reel,,
2026/08/13 16:00,"Tourniquet release: prepare for the transition.

Save this quiet 60 second review for your next study block.

Source: Tourniquet application during anesthesia: What we need to know
https://pmc.ncbi.nlm.nih.gov/articles/PMC5187604/

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-13-pm.mp4,Tourniquet release: prepare for the transition,,Silent 60 second vertical review: tourniquet release: prepare for the transition.,,,reel,,
2026/08/14 08:00,"PONV: match the plan to the risk.

Save this quiet 60 second review for your next study block.

Source: Fourth Consensus Guidelines for the Management of Postoperative Nausea and Vomiting
https://pubmed.ncbi.nlm.nih.gov/32467512/

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-14-am.mp4,PONV: match the plan to the risk,,Silent 60 second vertical review: ponv: match the plan to the risk.,,,reel,,
2026/08/14 16:00,"Low pressure alarm: patient first.

Save this quiet 60 second review for your next study block.

Source: Association of Anaesthetists monitoring recommendations
https://pmc.ncbi.nlm.nih.gov/articles/PMC5063182/

#CAA #SAA #AnesthesiaEducation #MACPrep",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/2026-08-10-to-16/reel-2026-08-14-pm.mp4,Low pressure alarm: patient first,,Silent 60 second vertical review: low pressure alarm: patient first.,,,reel,,
