Date - Intl. format or prompt,Text,Link(s) - Separated by comma for FB carousels,Media URL(s) - Separated by comma,"Title - For the video, pin, PDF ..",Label(s) - Separated by comma,Alt text(s) - Separated by ||,Comment(s) - Separated by ||,"Pin board, FB album, or Google category","Post subtype - I.e. story, reel, PDF ..",CTA - For Facebook links or Google,"Reminder - For stories, reels, shorts, and TikTok"
2026/07/22 08:00,"Prone spine surgery, 7 hours. He wakes up and cannot see. What is your first move?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #POVL",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-22-am.mp4,,,MACPrep reel: Postoperative ischemic optic neuropathy after prol,,,reel,,
2026/07/22 16:00,"Nitrous oxide can quietly knock out vitamin B12 and the enzyme your nerves need.

Save this before your next board question.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #nitrousoxide",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-22-pm.mp4,,,"MACPrep reel: Nitrous oxide, methionine synthase, and B12",,,reel,,
2026/07/23 08:00,"Refractory intraop hypotension that laughs at your pressors. What is the one move?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #adrenalcrisis",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-23-am.mp4,,,MACPrep reel: Intraoperative Addisonian crisis: refractory hypot,,,reel,,
2026/07/23 16:00,"Why does sevo turn on and off faster than iso? It comes down to blood:gas solubility, not potency.

Save this for your pharmacology review.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #pharmacology",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-23-pm.mp4,,,MACPrep reel: Volatile blood:gas solubility and speed of onset/o,,,reel,,
2026/07/24 08:00,"Post-pituitary polyuria that keeps driving the sodium up. Do you know the decisive move?
Comment your answer before the reveal.
Save this, tag a study buddy.
1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).
For educational purposes only, not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #diabetesinsipidus",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-24-am.mp4,,,MACPrep reel: Central diabetes insipidus after pituitary surgery,,,reel,,
2026/07/24 16:00,"SpO2 reads 100% but your patient may not be preoxygenated at all.

Save this before your next induction.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #preoxygenation",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-24-pm.mp4,,,MACPrep reel: Preoxygenation: end-tidal O2 target and eight vita,,,reel,,
2026/07/25 08:00,"Low blood sugar can wear a disguise in the OR.

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #hypoglycemia",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-25-am.mp4,,,MACPrep reel: Perioperative hypoglycemia masked by general anest,,,reel,,
2026/07/25 16:00,"Turn off the nitrous and your patient can desaturate, even minutes after a clean case. Save this so you never skip the washout. Save this, tag a study buddy. 1,500+ board-style Qs. Try 3 free at macprep.org (link in bio). For educational purposes only, not medical advice. #anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #diffusionhypoxia",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-25-pm.mp4,,,MACPrep reel: Diffusion hypoxia at emergence,,,reel,,
2026/07/26 08:00,"Bleeding tonsil, crashing child. Do you rush to intubate, or fill the tank first?

Comment your answer before the reveal.

Save this, tag a study buddy.

1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).

For educational purposes only, not medical advice.

#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #pediatricanesthesia",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-26-am.mp4,,,MACPrep reel: Post-tonsillectomy hemorrhage: volume-first RSI in,,,reel,,
2026/07/26 16:00,"Your nitroprusside drip keeps climbing. Do you know why?
Save this before your next controlled-hypotension case.
Save this, tag a study buddy.
1,500+ board-style Qs. Try 3 free at macprep.org (link in bio).
For educational purposes only, not medical advice.
#anesthesia #CAA #SAA #NCCAA #boardreview #studytok #medtok #nitroprusside",,https://cdn.jsdelivr.net/gh/jakeaustinkarel-afk/macprep-web@main/marketing/social-posts/reels/reel-2026-07-26-pm.mp4,,,MACPrep reel: SNP cyanide toxicity,,,reel,,
